Date,Plant_Area,Equipment_Name,Energy_Type,Consumption,Unit,Shift,Remarks
2025-04-19,FCCU,Flue Gas Cooler,Power,958.5,kWh,B Shift,  
2025-08-02,FCCU,Air Blower,Electricity,3900.24,kWh,C Shift,Avarage value from Normalcondtion
2025-04-05,FCCU,Feed Preheater,Fuel Gas,300.1,Scm,A Shift,Startup phase
2025-01-18,FCCU,Reactor,Steam,216.16,Ton,B Shift,Reading taken manually
2025-02-17,FCCU,Feed Preheater,Fuel Gas,287.44,Scm,General,Avarage value from Normalcondtion
2025-06-22,FCCU,Air Blower,Electricity,4052.4,kWh,A Shift,Unit under maintenance
2025-05-17,FCCU,Reactor,Steam,219.89,Ton,A Shift,Avarage value from Normalcondtion
2025-03-15,FCCU,Feed Preheater,Fuel Gas,286.45,Scm,C Shift,Sensor calibration pending
2025-03-23,FCCU,Co Boiler,Fuel Gas,463.28,Scm,C Shift,Avarage value from Normalcondtion
2025-06-26,FCCU,Main Fractionator,Steam,1220.1,Tons,General,Sensor calibration pending
2025-04-05,FCCU,Co Boiler,Fuel Gas,431.67,Scm,B Shift,Avarage value from Normalcondtion
2025-08-01,FCCU,Main Fractionator,Steam,114.64,Tons,A Shift,Minor fluctuation observed
2025-01-18,FCCU,Co Boiler,Fuel Gas,419.08,Scm,A Shift,Avarage value from Normalcondtion
2025-05-16,FCCU,Co Boiler,Fuel Gas,407.53,Sm3,A Shift,Unit under maintenance
2025-03-29,FCCU,Feed Preheater,Fuel Gas,300.51,Sm3,General,Avarage value from Normalcondtion
2025-03-23,FCCU,Air Blower,Electricity,3941.95,kWh,A Shift,  
2025-03-03,FCCU,Reactor,Steam,209.82,Ton,C Shift,Avarage value from Normalcondtion
2025-05-20,FCCU,Air Blower,Electricity,3533.98,kWh,A Shift,Reading taken manually
2025-03-27,FCCU,Feed Preheater,Fuel Gas,260.37,Scm,B Shift,Avarage value from Normalcondtion
2025-09-01,FCCU,Flue Gas Cooler,Power,1058.05,kWh,B Shift,Avarage value from Normalcondtion
2025-03-30,FCCU,Main Fractionator,Steam,1079.5,Ton,B Shift,  
2025-01-27,FCCU,Slurry Pump,Power,187.5,kWh,C Shift,Startup phase
2025-03-22,FCCU,Regenerator,Steam,338.04,Ton,C Shift,Startup phase
2025-05-27,FCCU,Air Blower,Electricity,3513.21,kWh,C Shift,Avarage value from Normalcondtion
2025-03-30,FCCU,Reactor,Steam,210.28,Tons,General,Sensor calibration pending
2025-06-15,FCCU,Regenerator,Steam,346.01,Ton,A Shift,Unit under maintenance
2025-12-01,FCCU,Slurry Pump,Power,213.98,kWh,C Shift,Avarage value from Normalcondtion
2025-04-21,FCCU,Main Fractionator,Steam,125.41,Ton,B Shift,Avarage value from Normalcondtion
2025-04-16,FCCU,Reactor,Steam,187.52,Ton,B Shift,Unit under maintenance
2025-04-16,FCCU,Flue Gas Cooler,Power,1033.42,kWh,C Shift,Avarage value from Normalcondtion
2025-04-19,FCCU,Slurry Pump,Power,153.07,kWh,C Shift,  
2025-06-26,FCCU,Co Boiler,Fuel Gas,403.24,Scm,A Shift,Avarage value from Normalcondtion
2025-03-14,FCCU,Slurry Pump,Power,187.16,kWh,C Shift,Unit under maintenance
2025-05-29,FCCU,Reactor,Steam,183.68,Ton,A Shift,Reading taken manually
2025-05-01,FCCU,Reactor,Steam,218.95,Ton,B Shift,Avarage value from Normalcondtion
2025-02-25,FCCU,Reactor,Steam,197.67,Ton,C Shift,Avarage value from Normalcondtion
2025-06-28,FCCU,Air Blower,Power,3538.44,kWh,B Shift,Avarage value from Normalcondtion
2025-04-23,FCCU,Wet Gas Compressor,Power,4007.49,kWh,General,Avarage value from Normalcondtion
2025-03-29,FCCU,Main Fractionator,Steam,103.65,Ton,C Shift,Avarage value from Normalcondtion
2025-05-28,FCCU,Slurry Pump,Power,214.84,kWh,A Shift,  
2025-02-28,FCCU,Reactor,Steam,202.0,Tons,A Shift,  
2025-06-17,FCCU,Feed Preheater,Fuel Gas,294.44,Sm3,C Shift,Minor fluctuation observed
2025-01-04,FCCU,Flue Gas Cooler,Electricity,1088.41,kWh,General,Reading taken manually
2025-06-18,FCCU,Air Blower,Power,3672.95,kWh,C Shift,Avarage value from Normalcondtion
2025-05-30,FCCU,Slurry Pump,Power,167.4,kWh,C Shift,Avarage value from Normalcondtion
2025-03-29,FCCU,Slurry Pump,Power,177.3,kWh,B Shift,Sensor calibration pending
2025-06-21,FCCU,Regenerator,Steam,346.01,Tons,A Shift,Avarage value from Normalcondtion
2025-04-19,FCCU,Reactor,Steam,187.55,Ton,B Shift,Avarage value from Normalcondtion
2025-04-20,FCCU,Regenerator,Steam,302.73,Tons,C Shift,Avarage value from Normalcondtion
2025-05-02,FCCU,Air Blower,Power,4028.49,kWh,General,Avarage value from Normalcondtion
2025-10-05,FCCU,Feed Preheater,Fuel Gas,255.71,Scm,B Shift,Reading taken manually
2025-02-18,FCCU,Wet Gas Compressor,Electricity,4386.8,kWh,C Shift,Avarage value from Normalcondtion
2025-04-29,FCCU,Flue Gas Cooler,Electricity,1037.27,kWh,C Shift,Normal operation
2025-06-27,FCCU,Co Boiler,Fuel Gas,479.37,Scm,B Shift,Avarage value from Normalcondtion
2025-06-19,FCCU,Slurry Pump,Electricity,193.97,kWh,A Shift,Minor fluctuation observed
2025-04-12,FCCU,Wet Gas Compressor,Power,4225.4,kWh,C Shift,Reading taken manually
2025-01-13,FCCU,Flue Gas Cooler,Electricity,1081.72,kWh,B Shift,Reading taken manually
2025-01-09,FCCU,Co Boiler,Fuel Gas,456.56,Sm3,C Shift,Avarage value from Normalcondtion
2025-03-16,FCCU,Flue Gas Cooler,Power,1006.74,kWh,B Shift,Startup phase
2025-06-26,FCCU,Regenerator,Steam,314.4,Ton,B Shift,Avarage value from Normalcondtion
2025-06-21,FCCU,Reactor,Steam,218.43,Ton,C Shift,Avarage value from Normalcondtion
2025-01-19,FCCU,Slurry Pump,Electricity,214.84,kWh,General,Normal operation
2025-06-16,FCCU,Air Blower,Electricity,3507.4,kWh,C Shift,Avarage value from Normalcondtion
2025-06-20,FCCU,Co Boiler,Fuel Gas,440.6,Scm,B Shift,Normal operation
2025-09-04,FCCU,Wet Gas Compressor,Power,4389.97,kWh,B Shift,Minor fluctuation observed
2025-03-27,FCCU,Flue Gas Cooler,Electricity,994.59,kWh,C Shift,  
2025-04-24,FCCU,Feed Preheater,Fuel Gas,281.32,Sm3,B Shift,Minor fluctuation observed
2025-02-01,FCCU,Slurry Pump,Power,201.17,kWh,C Shift,Avarage value from Normalcondtion
2025-05-28,FCCU,Regenerator,Steam,347.99,Ton,A Shift,Reading taken manually
2025-06-19,FCCU,Feed Preheater,Fuel Gas,287.62,Scm,C Shift,Avarage value from Normalcondtion
2025-01-18,FCCU,Feed Preheater,Fuel Gas,251.33,Scm,C Shift,Unit under maintenance
2025-02-06,FCCU,Air Blower,Power,3724.11,kWh,B Shift,Normal operation
2025-03-19,FCCU,Main Fractionator,Steam,126.82,Ton,C Shift,Unit under maintenance
2025-02-28,FCCU,Feed Preheater,Fuel Gas,291.67,Scm,B Shift,Minor fluctuation observed
2025-02-14,FCCU,Co Boiler,Fuel Gas,460.75,Scm,General,Startup phase
2025-03-20,FCCU,Feed Preheater,Fuel Gas,303.48,Scm,B Shift,Startup phase
2025-02-24,FCCU,Regenerator,Steam,352.1,Ton,A Shift,Startup phase
2025-06-05,FCCU,Flue Gas Cooler,Power,815.44,kWh,General,Avarage value from Normalcondtion
2025-02-16,FCCU,Reactor,Steam,188.16,Tons,A Shift,Avarage value from Normalcondtion
2025-04-14,FCCU,Co Boiler,Fuel Gas,454.36,Scm,C Shift,Reading taken manually
2025-05-11,FCCU,Regenerator,Steam,357.0,Tons,C Shift,Minor fluctuation observed
2025-04-30,FCCU,Feed Preheater,Fuel Gas,257.76,Scm,C Shift,Avarage value from Normalcondtion
2025-06-15,FCCU,Main Fractionator,Steam,101.46,Ton,General,Reading taken manually
2025-01-02,FCCU,Wet Gas Compressor,Power,4066.93,kWh,C Shift,Avarage value from Normalcondtion
2025-01-21,FCCU,Flue Gas Cooler,Electricity,1066.7,kWh,C Shift,Reading taken manually
2025-03-21,FCCU,Feed Preheater,Fuel Gas,285.32,Sm3,C Shift,Avarage value from Normalcondtion
2025-05-30,FCCU,Feed Preheater,Fuel Gas,299.58,Sm3,C Shift,Unit under maintenance
2025-06-25,FCCU,Co Boiler,Fuel Gas,429.14,Scm,A Shift,Avarage value from Normalcondtion
2025-01-30,FCCU,Flue Gas Cooler,Power,958.5,kWh,A Shift,Avarage value from Normalcondtion
2025-04-08,FCCU,Wet Gas Compressor,Power,4447.57,kWh,A Shift,Avarage value from Normalcondtion
2025-11-03,FCCU,Main Fractionator,Steam,97.14,Ton,General,Minor fluctuation observed
2025-03-09,FCCU,Reactor,Steam,213.87,Ton,A Shift,Sensor calibration pending
2025-02-02,FCCU,Feed Preheater,Fuel Gas,304.14,Scm,C Shift,Avarage value from Normalcondtion
2025-05-02,FCCU,Reactor,Steam,199.81,Tons,C Shift,Avarage value from Normalcondtion
2025-12-04,FCCU,Slurry Pump,Power,174.38,kWh,A Shift,Startup phase
2025-01-04,FCCU,Reactor,Steam,218.09,Tons,C Shift,Avarage value from Normalcondtion
2025-06-04,FCCU,Reactor,Steam,192.68,Ton,B Shift,Avarage value from Normalcondtion
2025-04-08,FCCU,Slurry Pump,Power,214.84,kWh,A Shift,Avarage value from Normalcondtion
2025-09-03,FCCU,Flue Gas Cooler,Electricity,973.44,kWh,C Shift,  
2025-07-02,FCCU,Main Fractionator,Steam,95.91,Ton,A Shift,Sensor calibration pending
2025-01-01,FCCU,Air Blower,Power,4080.58,kWh,B Shift,Avarage value from Normalcondtion
2025-02-01,FCCU,Flue Gas Cooler,Power,1097.75,kWh,General,Avarage value from Normalcondtion
2025-07-04,FCCU,Regenerator,Steam,340.49,Ton,B Shift,Reading taken manually
2025-04-08,FCCU,Feed Preheater,Fuel Gas,260.74,Sm3,A Shift,Startup phase
2025-04-14,FCCU,Flue Gas Cooler,Power,1054.94,kWh,B Shift,Unit under maintenance
2025-06-15,FCCU,Flue Gas Cooler,Electricity,935.23,kWh,A Shift,Normal operation
2025-06-03,FCCU,Main Fractionator,Steam,114.55,Ton,C Shift,Avarage value from Normalcondtion
2025-05-30,FCCU,Regenerator,Steam,307.58,Tons,B Shift,Avarage value from Normalcondtion
2025-11-06,FCCU,Reactor,Steam,186.04,Ton,A Shift,Minor fluctuation observed
2025-01-22,FCCU,Feed Preheater,Fuel Gas,259.59,Scm,A Shift,Avarage value from Normalcondtion
2025-02-09,FCCU,Flue Gas Cooler,Power,1060.24,kWh,C Shift,Minor fluctuation observed
2025-06-06,FCCU,Main Fractionator,Steam,107.68,Ton,B Shift,  
2025-02-23,FCCU,Air Blower,Power,4185.49,kWh,C Shift,Avarage value from Normalcondtion
2025-06-01,FCCU,Feed Preheater,Fuel Gas,251.11,Sm3,B Shift,Avarage value from Normalcondtion
2025-05-03,FCCU,Wet Gas Compressor,Electricity,4183.49,kWh,A Shift,Avarage value from Normalcondtion
2025-06-08,FCCU,Flue Gas Cooler,Electricity,975.47,kWh,A Shift,Startup phase
2025-04-03,FCCU,Wet Gas Compressor,Power,4339.29,kWh,General,Avarage value from Normalcondtion
2025-01-18,FCCU,Main Fractionator,Steam,118.46,Ton,A Shift,  
2025-02-09,FCCU,Feed Preheater,Fuel Gas,260.07,Scm,A Shift,Minor fluctuation observed
2025-12-06,FCCU,Regenerator,Steam,333.71,Ton,A Shift,Normal operation
2025-01-21,FCCU,Reactor,Steam,205.69,Tons,C Shift,Avarage value from Normalcondtion
2025-07-02,FCCU,Regenerator,Steam,300.04,Ton,B Shift,Normal operation
2025-02-13,FCCU,Wet Gas Compressor,Power,4274.05,kWh,A Shift,Avarage value from Normalcondtion
2025-06-19,FCCU,Air Blower,Power,3998.83,kWh,A Shift,Unit under maintenance
2025-04-16,FCCU,Main Fractionator,Steam,117.06,Tons,B Shift,Avarage value from Normalcondtion
2025-05-16,FCCU,Reactor,Steam,203.03,Tons,General,Avarage value from Normalcondtion
2025-11-06,FCCU,Co Boiler,Fuel Gas,465.07,Scm,A Shift,Normal operation
2025-01-27,FCCU,Air Blower,Power,4012.94,kWh,B Shift,Reading taken manually
2025-06-14,FCCU,Air Blower,Electricity,4010.12,kWh,C Shift,Avarage value from Normalcondtion
2025-03-15,FCCU,Flue Gas Cooler,Electricity,1069.38,kWh,A Shift,Avarage value from Normalcondtion
2025-04-21,FCCU,Feed Preheater,Fuel Gas,283.63,Scm,B Shift,Avarage value from Normalcondtion
2025-06-20,FCCU,Feed Preheater,Fuel Gas,251.61,Scm,C Shift,Reading taken manually
2025-01-29,FCCU,Air Blower,Power,3845.19,kWh,A Shift,Avarage value from Normalcondtion
2025-06-05,FCCU,Feed Preheater,Fuel Gas,307.17,Scm,C Shift,Avarage value from Normalcondtion
2025-01-24,FCCU,Flue Gas Cooler,Electricity,954.58,kWh,B Shift,Avarage value from Normalcondtion
2025-05-17,FCCU,Co Boiler,Fuel Gas,463.1,Scm,A Shift,Avarage value from Normalcondtion
2025-05-27,FCCU,Wet Gas Compressor,Power,4390.27,kWh,C Shift,Reading taken manually
2025-05-22,FCCU,Wet Gas Compressor,Electricity,4296.9,kWh,A Shift,Avarage value from Normalcondtion
2025-04-20,FCCU,Flue Gas Cooler,Power,1078.17,kWh,C Shift,Avarage value from Normalcondtion
2025-03-20,FCCU,Reactor,Steam,199.03,Tons,A Shift,Sensor calibration pending
2025-03-06,FCCU,Flue Gas Cooler,Power,853.22,kWh,A Shift,Avarage value from Normalcondtion
2025-06-28,FCCU,Flue Gas Cooler,Electricity,1094.39,kWh,A Shift,Avarage value from Normalcondtion
2025-05-24,FCCU,Feed Preheater,Fuel Gas,301.33,Scm,B Shift,Sensor calibration pending
2025-02-16,FCCU,Slurry Pump,Electricity,219.76,kWh,A Shift,Avarage value from Normalcondtion
2025-05-04,FCCU,Reactor,Steam,187.04,Ton,General,Startup phase
2025-04-16,FCCU,Feed Preheater,Fuel Gas,304.79,Scm,C Shift,Unit under maintenance
2025-03-31,FCCU,Reactor,Steam,217.47,Ton,B Shift,Avarage value from Normalcondtion
2025-11-03,FCCU,Co Boiler,Fuel Gas,429.23,Scm,General,Reading taken manually
2025-04-21,FCCU,Reactor,Steam,186.23,Ton,C Shift,Avarage value from Normalcondtion
2025-06-26,FCCU,Feed Preheater,Fuel Gas,271.02,Sm3,B Shift,Startup phase
2025-02-24,FCCU,Air Blower,Power,3647.4,kWh,A Shift,Sensor calibration pending
2025-04-12,FCCU,Flue Gas Cooler,Power,800.93,kWh,General,Avarage value from Normalcondtion
2025-02-06,FCCU,Co Boiler,Fuel Gas,428.38,Scm,B Shift,Avarage value from Normalcondtion
2025-03-22,FCCU,Reactor,Steam,194.57,Ton,C Shift,  
2025-01-16,FCCU,Regenerator,Steam,324.3,Ton,B Shift,Reading taken manually
2025-02-18,FCCU,Flue Gas Cooler,Power,969.67,kWh,A Shift,Avarage value from Normalcondtion
2025-09-05,FCCU,Co Boiler,Fuel Gas,405.71,Scm,A Shift,Normal operation
2025-05-24,FCCU,Air Blower,Power,4179.31,kWh,B Shift,Avarage value from Normalcondtion
2025-08-01,FCCU,Reactor,Steam,193.89,Ton,B Shift,Startup phase
2025-06-16,FCCU,Reactor,Steam,188.76,Ton,General,Avarage value from Normalcondtion
2025-04-27,FCCU,Air Blower,Electricity,3789.05,kWh,C Shift,Minor fluctuation observed
2025-02-27,FCCU,Reactor,Steam,211.04,Tons,C Shift,Sensor calibration pending
2025-05-16,FCCU,Regenerator,Steam,359.35,Ton,B Shift,Avarage value from Normalcondtion
2025-04-07,FCCU,Wet Gas Compressor,Power,4515.82,kWh,A Shift,Avarage value from Normalcondtion
2025-06-13,FCCU,Reactor,Steam,210.19,Ton,A Shift,Normal operation
2025-02-24,FCCU,Reactor,Steam,194.2,Tons,C Shift,Reading taken manually
2025-06-23,FCCU,Main Fractionator,Steam,115.23,Ton,C Shift,  
2025-01-06,FCCU,Flue Gas Cooler,Electricity,983.8,kWh,General,Sensor calibration pending
2025-10-05,FCCU,Regenerator,Steam,322.87,Ton,A Shift,Avarage value from Normalcondtion
2025-04-09,FCCU,Feed Preheater,Fuel Gas,292.6,Scm,C Shift,Avarage value from Normalcondtion
2025-11-02,FCCU,Air Blower,Power,4162.85,kWh,B Shift,Normal operation
2025-01-30,FCCU,Co Boiler,Fuel Gas,463.13,Sm3,C Shift,Avarage value from Normalcondtion
2025-05-06,FCCU,Regenerator,Steam,326.04,Ton,A Shift,Unit under maintenance
2025-04-15,FCCU,Flue Gas Cooler,Power,854.2,kWh,B Shift,Reading taken manually
2025-02-20,FCCU,Flue Gas Cooler,Power,1063.33,kWh,A Shift,Reading taken manually
2025-03-30,FCCU,Regenerator,Steam,343.92,Ton,B Shift,Normal operation
2025-05-29,FCCU,Slurry Pump,Power,173.61,kWh,General,Reading taken manually
2025-02-20,FCCU,Co Boiler,Fuel Gas,447.12,Sm3,C Shift,Unit under maintenance
2025-03-13,FCCU,Flue Gas Cooler,Electricity,813.0,kWh,B Shift,Avarage value from Normalcondtion
2025-05-23,FCCU,Wet Gas Compressor,Electricity,4257.15,kWh,C Shift,  
2025-03-02,FCCU,Air Blower,Power,4160.9,kWh,C Shift,Minor fluctuation observed
2025-06-01,FCCU,Reactor,Steam,197.2,Ton,A Shift,Reading taken manually
2025-01-16,FCCU,Wet Gas Compressor,Power,4318.36,kWh,C Shift,Avarage value from Normalcondtion
2025-12-03,FCCU,Main Fractionator,Steam,106.22,Ton,B Shift,Reading taken manually
2025-03-01,FCCU,Slurry Pump,Power,161.92,kWh,B Shift,Avarage value from Normalcondtion
2025-05-05,FCCU,Reactor,Steam,194.69,Ton,General,Avarage value from Normalcondtion
2025-06-17,FCCU,Flue Gas Cooler,Power,841.76,kWh,B Shift,Avarage value from Normalcondtion
2025-04-02,FCCU,Feed Preheater,Fuel Gas,250.56,Scm,C Shift,Avarage value from Normalcondtion
2025-05-07,FCCU,Co Boiler,Fuel Gas,410.38,Sm3,C Shift,Avarage value from Normalcondtion
2025-02-01,FCCU,Reactor,Steam,185.71,Ton,B Shift,Avarage value from Normalcondtion
2025-05-25,FCCU,Feed Preheater,Fuel Gas,305.01,Scm,B Shift,Normal operation
2025-01-13,FCCU,Slurry Pump,Power,208.09,kWh,General,Avarage value from Normalcondtion
2025-04-16,FCCU,Wet Gas Compressor,Power,4338.19,kWh,B Shift,Minor fluctuation observed
2025-10-01,FCCU,Wet Gas Compressor,Electricity,4549.64,kWh,C Shift,Reading taken manually
2025-03-20,FCCU,Air Blower,Power,4052.4,kWh,A Shift,Avarage value from Normalcondtion
2025-03-30,FCCU,Wet Gas Compressor,Power,4428.61,kWh,C Shift,Sensor calibration pending
2025-05-08,FCCU,Wet Gas Compressor,Power,4496.31,kWh,B Shift,Minor fluctuation observed
2025-05-05,FCCU,Main Fractionator,Steam,128.51,Tons,C Shift,Avarage value from Normalcondtion
2025-04-27,FCCU,Regenerator,Steam,338.05,Ton,General,Avarage value from Normalcondtion
2025-03-13,FCCU,Slurry Pump,Electricity,160.15,kWh,A Shift,Normal operation
2025-05-29,FCCU,Main Fractionator,Steam,119.95,Ton,B Shift,Sensor calibration pending
2025-08-03,FCCU,Slurry Pump,Electricity,193.63,kWh,General,Reading taken manually
2025-01-21,FCCU,Slurry Pump,Power,156.78,kWh,B Shift,Minor fluctuation observed
2025-06-23,FCCU,Regenerator,Steam,311.61,Tons,A Shift,Avarage value from Normalcondtion
2025-03-21,FCCU,Main Fractionator,Steam,113.52,Ton,A Shift,Normal operation
2025-06-13,FCCU,Main Fractionator,Steam,92.26,Ton,C Shift,Avarage value from Normalcondtion
2025-02-28,FCCU,Main Fractionator,Steam,129.32,Ton,C Shift,Avarage value from Normalcondtion
2025-01-19,FCCU,Reactor,Steam,182.71,Tons,B Shift,Sensor calibration pending
2025-05-17,FCCU,Main Fractionator,Steam,102.57,Ton,General,Avarage value from Normalcondtion
2025-03-19,FCCU,Feed Preheater,Fuel Gas,262.55,Sm3,A Shift,Minor fluctuation observed
2025-03-18,FCCU,Regenerator,Steam,352.35,Tons,C Shift,Avarage value from Normalcondtion
2025-01-30,FCCU,Wet Gas Compressor,Power,4065.62,kWh,B Shift,Startup phase
2025-03-15,FCCU,Co Boiler,Fuel Gas,423.32,Scm,B Shift,Sensor calibration pending
2025-04-03,FCCU,Slurry Pump,Power,179.19,kWh,B Shift,Startup phase
2025-05-28,FCCU,Wet Gas Compressor,Power,4390.26,kWh,A Shift,Avarage value from Normalcondtion
2025-05-19,FCCU,Regenerator,Steam,339.52,Ton,C Shift,Avarage value from Normalcondtion
2025-05-24,FCCU,Slurry Pump,Power,180.93,kWh,B Shift,Avarage value from Normalcondtion
2025-05-04,FCCU,Regenerator,Steam,318.3,Ton,C Shift,Avarage value from Normalcondtion
2025-04-17,FCCU,Flue Gas Cooler,Power,1014.25,kWh,B Shift,Avarage value from Normalcondtion
2025-04-05,FCCU,Reactor,Steam,198.45,Ton,General,Minor fluctuation observed
2025-04-26,FCCU,Regenerator,Steam,352.28,Ton,C Shift,Avarage value from Normalcondtion
2025-06-06,FCCU,Wet Gas Compressor,Power,4569.15,kWh,B Shift,Normal operation
2025-05-24,FCCU,Flue Gas Cooler,Power,868.5,kWh,B Shift,Avarage value from Normalcondtion
2025-06-27,FCCU,Main Fractionator,Steam,121.99,Ton,B Shift,Avarage value from Normalcondtion
2025-04-01,FCCU,Flue Gas Cooler,Power,951.62,kWh,A Shift,Avarage value from Normalcondtion
2025-05-01,FCCU,Wet Gas Compressor,Power,4239.08,kWh,General,Avarage value from Normalcondtion
2025-02-26,FCCU,Co Boiler,Fuel Gas,443.49,Scm,General,Unit under maintenance
2025-05-07,FCCU,Feed Preheater,Fuel Gas,306.88,Scm,B Shift,Avarage value from Normalcondtion
2025-04-27,FCCU,Flue Gas Cooler,Power,1063.88,kWh,General,Minor fluctuation observed
2025-04-20,FCCU,Feed Preheater,Fuel Gas,294.29,Sm3,C Shift,Sensor calibration pending
