Date,Plant_Area,Equipment_Name,Energy_Type,Consumption,Unit,Shift,Remarks
2025-02-28,FCCU,Slurry Pump,Power,172.35,kWh,C-Shift,
09/05/2025,FCCU,REACTOR,steam,210.85,ton,A,Unit under maintenance
2025-06-04,FCCU,flue gas cooler,Power ,1073.56,kwh,b shift,Minor fluctuation observed
26/02/2025,FCCU,Feed Preheater,FuelGas,275.07,SCM,A Shift,N/A
01/18/2025,FCCU,Regenerator,Steam ,357.98,T,B,
2025-01-28,FCCU, Flue Gas Cooler  ,power,976.11,KWH,A Shift,
04-03-2025,FCCU,regenerator,STEAM,341.5,Tons,C-Shift,N/A
11-02-2025,FCCU,Wet Gas Compressor,Electricity,4543.92,kWh,General,
01-02-2025,FCCU,Wet Gas Compressor,Electricity,4099.59,kWh,B,  
02/23/2025,FCCU,Reactor,Steam ,188.88,T,General,Minor fluctuation observed
03/10/2025,FCCU,Flue Gas Cooler,power,955.99,KWH,C,Sensor calibration pending
01/08/2025,FCCU,feed preheater,Fuel Gas ,265.51,Sm3,b shift,Normal operation
03/17/2025,FCCU,Regenerator,steam,348.34,ton,A Shift,
01/04/2025,FCCU,Feed Preheater,FuelGas,269.13,SCM,C,Startup phase
27-02-2025,FCCU,CO Boiler,fuel gas,444.67,scm,General,Startup phase
19-04-2025,FCCU,Flue Gas Cooler,Power,,kWh,b shift,  
08/02/2025,FCCU,Air Blower,Electricity,3900.24,kWh,C,
04/05/2025,FCCU,Feed Preheater,FuelGas,300.1,SCM,A Shift,Startup phase
01/18/2025,FCCU,Reactor,Steam ,216.16,T,b shift,Reading taken manually
17/02/2025,FCCU,FEED PREHEATER,Fuel Gas,287.44,SCM,General,N/A
06/22/2025,FCCU,Air Blower,Electricity,,kWh,A,Unit under maintenance
17/05/2025,FCCU,Reactor,Steam ,219.89,T,A Shift,N/A
15/03/2025,FCCU,Feed Preheater,fuel gas,286.45,scm,C-Shift,Sensor calibration pending
2025-03-23,FCCU,CO Boiler,FuelGas,463.28,SCM,C-Shift,
26-06-2025,FCCU,Main Fractionator,STEAM,1220.1,Tons,General,Sensor calibration pending
2025-04-05,FCCU,CO Boiler,fuel gas,431.67,scm,b shift,
08-01-2025,FCCU,Main Fractionator,STEAM,114.64,Tons,A Shift,Minor fluctuation observed
01/18/2025,FCCU,CO Boiler,Fuel Gas,419.08,SCM,A,
05/16/2025,FCCU,CO Boiler,Fuel Gas ,407.53,Sm3,A,Unit under maintenance
29/03/2025,FCCU,Feed Preheater,Fuel Gas ,300.51,Sm3,General,
23-03-2025,FCCU,Air Blower,Electricity,3941.95,kWh,A Shift,  
03/03/2025,FCCU,Reactor,Steam ,209.82,T,C-Shift,
20-05-2025,FCCU,Air Blower,Electricity,3533.98,kWh,A Shift,Reading taken manually
27-03-2025,FCCU,FEED PREHEATER,FuelGas,260.37,SCM,B,N/A
09-01-2025,FCCU,Flue Gas Cooler,Power ,1058.05,kwh,b shift,
2025-03-30,FCCU,MAIN FRACTIONATOR,Steam,1079.5,Ton,B,  
01/27/2025,FCCU,SLURRY PUMP,Power ,187.5,kwh,C-Shift,Startup phase
22/03/2025,FCCU,Regenerator,Steam,338.04,Ton,C,Startup phase
05/27/2025,FCCU,Air Blower,Electricity,3513.21,kWh,C,
30/03/2025,FCCU,Reactor,STEAM,210.28,Tons,General,Sensor calibration pending
06/15/2025,FCCU,Regenerator,steam,-314.09,ton,A,Unit under maintenance
12/01/2025,FCCU,Slurry Pump,Power ,213.98,kwh,C,N/A
21-04-2025,FCCU,main fractionator,steam,125.41,ton,B,
16-04-2025,FCCU, Reactor  ,Steam,187.52,Ton,B,Unit under maintenance
2025-04-16,FCCU,flue gas cooler,Power ,1033.42,kwh,C,
19/04/2025,FCCU,Slurry Pump,power,153.07,KWH,C,  
26/06/2025,FCCU,co boiler,fuel gas,403.24,scm,A Shift,
2025-03-14,FCCU,slurry pump,Power ,187.16,kwh,C-Shift,Unit under maintenance
29-05-2025,FCCU,reactor,steam,183.68,ton,A Shift,Reading taken manually
05-01-2025,FCCU,Reactor,Steam ,218.95,T,B,
25/02/2025,FCCU,Reactor,Steam,197.67,Ton,C,
28-06-2025,FCCU,Air Blower,Power,3538.44,kWh,B,N/A
23-04-2025,FCCU,WET GAS COMPRESSOR,Power,4007.49,kWh,General,
03/29/2025,FCCU, Main Fractionator  ,Steam ,103.65,T,C,N/A
2025-05-28,FCCU,slurry pump,power,,KWH,A Shift,  
28-02-2025,FCCU,Reactor,STEAM,202.0,Tons,A Shift,  
06/17/2025,FCCU,Feed Preheater,Fuel Gas ,294.44,Sm3,C,Minor fluctuation observed
01-04-2025,FCCU,Flue Gas Cooler,Electricity,1088.41,kWh,General,Reading taken manually
2025-06-18,FCCU,Air Blower,power,3672.95,KWH,C,
05/30/2025,FCCU,Slurry Pump,power,167.4,KWH,C,
29-03-2025,FCCU,slurry pump,Power ,177.3,kwh,b shift,Sensor calibration pending
2025-06-21,FCCU,Regenerator,STEAM,,Tons,A Shift,N/A
19-04-2025,FCCU,Reactor,steam,187.55,ton,B,
2025-04-20,FCCU,Regenerator,STEAM,302.73,Tons,C-Shift,
2025-05-02,FCCU,Air Blower,power,4028.49,KWH,General,N/A
10-05-2025,FCCU,Feed Preheater,Fuel Gas,255.71,SCM,b shift,Reading taken manually
18-02-2025,FCCU,Wet Gas Compressor,Electricity,4386.8,kWh,C,
29/04/2025,FCCU,Flue Gas Cooler,Electricity,1037.27,kWh,C-Shift,Normal operation
27/06/2025,FCCU,CO Boiler,Fuel Gas,479.37,SCM,b shift,N/A
19/06/2025,FCCU,Slurry Pump,Electricity,193.97,kWh,A Shift,Minor fluctuation observed
2025-04-12,FCCU,WET GAS COMPRESSOR,Power,4225.4,kWh,C,Reading taken manually
13-01-2025,FCCU,Flue Gas Cooler,Electricity,1081.72,kWh,B,Reading taken manually
01/09/2025,FCCU, CO Boiler  ,Fuel Gas ,456.56,Sm3,C-Shift,
16-03-2025,FCCU,Flue Gas Cooler,Power ,1006.74,kwh,B,Startup phase
06/26/2025,FCCU, Regenerator  ,steam,314.4,ton,B,N/A
21/06/2025,FCCU,Reactor,Steam ,218.43,T,C-Shift,N/A
19/01/2025,FCCU,Slurry Pump,Electricity,,kWh,General,Normal operation
16/06/2025,FCCU,Air Blower,Electricity,3507.4,kWh,C,
06/20/2025,FCCU,CO Boiler,FuelGas,440.6,SCM,B,Normal operation
09-04-2025,FCCU,WET GAS COMPRESSOR,Power ,4389.97,kwh,B,Minor fluctuation observed
2025-03-27,FCCU, Flue Gas Cooler  ,Electricity,994.59,kWh,C-Shift,  
24-04-2025,FCCU,Feed Preheater,Fuel Gas ,281.32,Sm3,b shift,Minor fluctuation observed
02/01/2025,FCCU,slurry pump,Power,201.17,kWh,C,
28/05/2025,FCCU,Regenerator,Steam,347.99,Ton,A,Reading taken manually
06/19/2025,FCCU,Feed Preheater,FuelGas,287.62,SCM,C,
01/18/2025,FCCU,feed preheater,Fuel Gas,251.33,SCM,C-Shift,Unit under maintenance
02/06/2025,FCCU,Air Blower,power,3724.11,KWH,B,Normal operation
2025-03-19,FCCU,main fractionator,steam,126.82,ton,C-Shift,Unit under maintenance
02/28/2025,FCCU,Feed Preheater,Fuel Gas,291.67,SCM,b shift,Minor fluctuation observed
02/14/2025,FCCU,CO Boiler,Fuel Gas,460.75,SCM,General,Startup phase
20-03-2025,FCCU,Feed Preheater,FuelGas,303.48,SCM,b shift,Startup phase
2025-02-24,FCCU,Regenerator,steam,352.1,ton,A Shift,Startup phase
06-05-2025,FCCU,Flue Gas Cooler,power,815.44,KWH,General,
16/02/2025,FCCU,Reactor,STEAM,188.16,Tons,A Shift,
2025-04-14,FCCU,CO Boiler,FuelGas,454.36,SCM,C,Reading taken manually
2025-05-11,FCCU,regenerator,STEAM,357.0,Tons,C-Shift,Minor fluctuation observed
2025-04-30,FCCU,Feed Preheater,Fuel Gas,257.76,SCM,C,N/A
06/15/2025,FCCU,Main Fractionator,Steam,101.46,Ton,General,Reading taken manually
2025-01-02,FCCU,Wet Gas Compressor,Power ,4066.93,kwh,C-Shift,N/A
21-01-2025,FCCU,Flue Gas Cooler,Electricity,1066.7,kWh,C,Reading taken manually
03/21/2025,FCCU,Feed Preheater,Fuel Gas ,285.32,Sm3,C,
30/05/2025,FCCU, Feed Preheater  ,Fuel Gas ,299.58,Sm3,C-Shift,Unit under maintenance
25/06/2025,FCCU,CO Boiler,Fuel Gas,429.14,SCM,A,
30-01-2025,FCCU,Flue Gas Cooler,power,,KWH,A,
2025-04-08,FCCU,Wet Gas Compressor,Power ,4447.57,kwh,A,
11-03-2025,FCCU,Main Fractionator,Steam ,97.14,T,General,Minor fluctuation observed
03/09/2025,FCCU,Reactor,Steam ,213.87,T,A Shift,Sensor calibration pending
2025-02-02,FCCU,Feed Preheater,FuelGas,304.14,SCM,C-Shift,
05/02/2025,FCCU,Reactor,STEAM,199.81,Tons,C-Shift,
12/04/2025,FCCU,Slurry Pump,Power,174.38,kWh,A Shift,Startup phase
01/04/2025,FCCU,Reactor,STEAM,218.09,Tons,C,
06/04/2025,FCCU,Reactor,Steam ,192.68,T,B,
04/08/2025,FCCU,Slurry Pump,power,,KWH,A,
09/03/2025,FCCU,Flue Gas Cooler,Electricity,973.44,kWh,C,  
07-02-2025,FCCU,Main Fractionator,Steam,95.91,Ton,A,Sensor calibration pending
01/01/2025,FCCU,Air Blower,Power ,4080.58,kwh,b shift,
2025-02-01,FCCU,Flue Gas Cooler,Power,1097.75,kWh,General,
07/04/2025,FCCU,REGENERATOR,Steam,340.49,Ton,b shift,Reading taken manually
04/08/2025,FCCU, Feed Preheater  ,Fuel Gas ,260.74,Sm3,A,Startup phase
2025-04-14,FCCU,Flue Gas Cooler,Power,1054.94,kWh,B,Unit under maintenance
15/06/2025,FCCU,Flue Gas Cooler,Electricity,935.23,kWh,A,Normal operation
2025-06-03,FCCU,Main Fractionator,Steam,114.55,Ton,C-Shift,
2025-05-30,FCCU,Regenerator,STEAM,307.58,Tons,b shift,
11/06/2025,FCCU,REACTOR,steam,186.04,ton,A,Minor fluctuation observed
22-01-2025,FCCU, Feed Preheater  ,Fuel Gas,259.59,SCM,A Shift,
2025-02-09,FCCU,Flue Gas Cooler,Power ,1060.24,kwh,C,Minor fluctuation observed
2025-06-06,FCCU,Main Fractionator,steam,107.68,ton,b shift,  
23/02/2025,FCCU,Air Blower,power,4185.49,KWH,C-Shift,
06/01/2025,FCCU,Feed Preheater,Fuel Gas ,251.11,Sm3,b shift,N/A
2025-05-03,FCCU,Wet Gas Compressor,Electricity,4183.49,kWh,A,
2025-06-08,FCCU,Flue Gas Cooler,Electricity,975.47,kWh,A Shift,Startup phase
04-03-2025,FCCU,Wet Gas Compressor,Power ,4339.29,kwh,General,
2025-01-18,FCCU,Main Fractionator,Steam,118.46,Ton,A,  
02/09/2025,FCCU,Feed Preheater,FuelGas,260.07,SCM,A,Minor fluctuation observed
12-06-2025,FCCU,Regenerator,Steam ,333.71,T,A Shift,Normal operation
01/21/2025,FCCU,Reactor,STEAM,205.69,Tons,C,
07-02-2025,FCCU,REGENERATOR,Steam ,300.04,T,B,Normal operation
2025-02-13,FCCU,Wet Gas Compressor,power,4274.05,KWH,A,
19-06-2025,FCCU,Air Blower,Power ,3998.83,kwh,A Shift,Unit under maintenance
04/16/2025,FCCU,MAIN FRACTIONATOR,STEAM,117.06,Tons,B,
16-05-2025,FCCU,Reactor,STEAM,203.03,Tons,General,N/A
11/06/2025,FCCU,CO Boiler,fuel gas,465.07,scm,A,Normal operation
01/27/2025,FCCU,Air Blower,power,4012.94,KWH,b shift,Reading taken manually
2025-06-14,FCCU,Air Blower,Electricity,4010.12,kWh,C,
2025-03-15,FCCU,Flue Gas Cooler,Electricity,1069.38,kWh,A,
21/04/2025,FCCU,feed preheater,fuel gas,283.63,scm,B,
06/20/2025,FCCU,Feed Preheater,FuelGas,251.61,SCM,C-Shift,Reading taken manually
29-01-2025,FCCU,Air Blower,Power ,3845.19,kwh,A Shift,
2025-06-05,FCCU,Feed Preheater,fuel gas,307.17,scm,C-Shift,N/A
24-01-2025,FCCU,Flue Gas Cooler,Electricity,954.58,kWh,B,
2025-05-17,FCCU,CO Boiler,fuel gas,463.1,scm,A,N/A
05/27/2025,FCCU,Wet Gas Compressor,power,4390.27,KWH,C,Reading taken manually
22/05/2025,FCCU,Wet Gas Compressor,Electricity,4296.9,kWh,A Shift,
20-04-2025,FCCU,Flue Gas Cooler,Power ,1078.17,kwh,C-Shift,
20/03/2025,FCCU,Reactor,STEAM,199.03,Tons,A Shift,Sensor calibration pending
03-06-2025,FCCU,FLUE GAS COOLER,Power ,853.22,kwh,A,
28/06/2025,FCCU,Flue Gas Cooler,Electricity,1094.39,kWh,A Shift,
24/05/2025,FCCU,FEED PREHEATER,fuel gas,301.33,scm,B,Sensor calibration pending
16/02/2025,FCCU,Slurry Pump,Electricity,219.76,kWh,A,
05-04-2025,FCCU,Reactor,Steam,187.04,Ton,General,Startup phase
2025-04-16,FCCU,Feed Preheater,Fuel Gas,304.79,SCM,C,Unit under maintenance
2025-03-31,FCCU,Reactor,Steam,217.47,Ton,B,N/A
11/03/2025,FCCU,CO Boiler,Fuel Gas,429.23,SCM,General,Reading taken manually
21-04-2025,FCCU,Reactor,Steam ,186.23,T,C,
26-06-2025,FCCU,Feed Preheater,Fuel Gas ,271.02,Sm3,B,Startup phase
2025-02-24,FCCU,Air Blower,Power,3647.4,kWh,A Shift,Sensor calibration pending
04/12/2025,FCCU,Flue Gas Cooler,Power,800.93,kWh,General,
2025-02-06,FCCU,CO Boiler,FuelGas,428.38,SCM,B,
03/22/2025,FCCU,Reactor,steam,194.57,ton,C-Shift,  
01/16/2025,FCCU,Regenerator,Steam,324.3,Ton,b shift,Reading taken manually
18/02/2025,FCCU,Flue Gas Cooler,power,969.67,KWH,A Shift,
09-05-2025,FCCU,CO Boiler,FuelGas,405.71,SCM,A,Normal operation
24/05/2025,FCCU,Air Blower,Power,4179.31,kWh,B,
08/01/2025,FCCU,Reactor,Steam,193.89,Ton,b shift,Startup phase
16/06/2025,FCCU,Reactor,Steam ,188.76,T,General,
04/27/2025,FCCU,Air Blower,Electricity,3789.05,kWh,C-Shift,Minor fluctuation observed
02/27/2025,FCCU,Reactor,STEAM,211.04,Tons,C-Shift,Sensor calibration pending
05/16/2025,FCCU,regenerator,steam,359.35,ton,B,
2025-04-07,FCCU,wet gas compressor,Power ,4515.82,kwh,A,
13-06-2025,FCCU,Reactor,Steam,210.19,Ton,A Shift,Normal operation
24-02-2025,FCCU,Reactor,STEAM,194.2,Tons,C-Shift,Reading taken manually
23/06/2025,FCCU,MAIN FRACTIONATOR,steam,115.23,ton,C,  
01/06/2025,FCCU,Flue Gas Cooler,Electricity,983.8,kWh,General,Sensor calibration pending
10/05/2025,FCCU,Regenerator,steam,322.87,ton,A,
04/09/2025,FCCU,FEED PREHEATER,Fuel Gas,292.6,SCM,C-Shift,N/A
11-02-2025,FCCU,Air Blower,power,4162.85,KWH,B,Normal operation
30/01/2025,FCCU,CO Boiler,Fuel Gas ,,Sm3,C-Shift,
05/06/2025,FCCU,Regenerator,steam,326.04,ton,A,Unit under maintenance
2025-04-15,FCCU,Flue Gas Cooler,Power,854.2,kWh,b shift,Reading taken manually
02/20/2025,FCCU,Flue Gas Cooler,Power,1063.33,kWh,A,Reading taken manually
30/03/2025,FCCU,Regenerator,Steam,343.92,Ton,b shift,Normal operation
2025-05-29,FCCU,Slurry Pump,Power ,173.61,kwh,General,Reading taken manually
20-02-2025,FCCU,CO Boiler,Fuel Gas ,447.12,Sm3,C-Shift,Unit under maintenance
13/03/2025,FCCU,Flue Gas Cooler,Electricity,813.0,kWh,B,
2025-05-23,FCCU,Wet Gas Compressor,Electricity,4257.15,kWh,C,  
2025-03-02,FCCU,Air Blower,Power,4160.9,kWh,C,Minor fluctuation observed
06/01/2025,FCCU,Reactor,steam,197.2,ton,A Shift,Reading taken manually
16/01/2025,FCCU,Wet Gas Compressor,Power,4318.36,kWh,C,N/A
12/03/2025,FCCU,MAIN FRACTIONATOR,Steam,106.22,Ton,b shift,Reading taken manually
2025-03-01,FCCU,Slurry Pump,Power ,161.92,kwh,b shift,
05-05-2025,FCCU,Reactor,Steam ,194.69,T,General,
06/17/2025,FCCU,Flue Gas Cooler,power,841.76,KWH,b shift,
04/02/2025,FCCU,FEED PREHEATER,FuelGas,250.56,SCM,C,N/A
2025-05-07,FCCU,CO Boiler,Fuel Gas ,410.38,Sm3,C-Shift,
02/01/2025,FCCU,Reactor,Steam ,185.71,T,b shift,
25-05-2025,FCCU,Feed Preheater,FuelGas,305.01,SCM,B,Normal operation
13/01/2025,FCCU,Slurry Pump,Power,208.09,kWh,General,
16/04/2025,FCCU,Wet Gas Compressor,Power ,4338.19,kwh,B,Minor fluctuation observed
10/01/2025,FCCU,Wet Gas Compressor,Electricity,4549.64,kWh,C-Shift,Reading taken manually
20/03/2025,FCCU,Air Blower,Power,,kWh,A Shift,
30-03-2025,FCCU,Wet Gas Compressor,power,4428.61,KWH,C,Sensor calibration pending
05/08/2025,FCCU,Wet Gas Compressor,Power ,4496.31,kwh,b shift,Minor fluctuation observed
05/05/2025,FCCU,MAIN FRACTIONATOR,STEAM,128.51,Tons,C,
27-04-2025,FCCU,Regenerator,Steam ,338.05,T,General,
03/13/2025,FCCU,SLURRY PUMP,Electricity,160.15,kWh,A Shift,Normal operation
29/05/2025,FCCU,Main Fractionator,Steam ,119.95,T,B,Sensor calibration pending
08-03-2025,FCCU,Slurry Pump,Electricity,193.63,kWh,General,Reading taken manually
21/01/2025,FCCU,Slurry Pump,power,156.78,KWH,b shift,Minor fluctuation observed
06/23/2025,FCCU,REGENERATOR,STEAM,311.61,Tons,A,
03/21/2025,FCCU,Main Fractionator,Steam ,113.52,T,A Shift,Normal operation
13-06-2025,FCCU,Main Fractionator,steam,92.26,ton,C-Shift,N/A
02/28/2025,FCCU,main fractionator,Steam,129.32,Ton,C,
01/19/2025,FCCU,Reactor,STEAM,182.71,Tons,b shift,Sensor calibration pending
2025-05-17,FCCU,Main Fractionator,Steam,102.57,Ton,General,
2025-03-19,FCCU,Feed Preheater,Fuel Gas ,262.55,Sm3,A,Minor fluctuation observed
18-03-2025,FCCU,Regenerator,STEAM,352.35,Tons,C,
01/30/2025,FCCU,Wet Gas Compressor,Power,4065.62,kWh,B,Startup phase
15-03-2025,FCCU,CO Boiler,Fuel Gas,423.32,SCM,B,Sensor calibration pending
04/03/2025,FCCU,slurry pump,Power,179.19,kWh,b shift,Startup phase
05/28/2025,FCCU,Wet Gas Compressor,Power,4390.26,kWh,A,
19-05-2025,FCCU,Regenerator,Steam,339.52,Ton,C,
2025-05-24,FCCU,Slurry Pump,Power,180.93,kWh,b shift,
05-04-2025,FCCU,Regenerator,steam,318.3,ton,C-Shift,
2025-04-17,FCCU,Flue Gas Cooler,Power,1014.25,kWh,B,N/A
04/05/2025,FCCU,Reactor,Steam ,198.45,T,General,Minor fluctuation observed
04/26/2025,FCCU,REGENERATOR,Steam ,352.28,T,C,
06-06-2025,FCCU, Wet Gas Compressor  ,Power,4569.15,kWh,B,Normal operation
24/05/2025,FCCU,Flue Gas Cooler,power,868.5,KWH,b shift,
06/27/2025,FCCU,MAIN FRACTIONATOR,steam,,ton,B,N/A
04-01-2025,FCCU,Flue Gas Cooler,Power ,951.62,kwh,A,
05/01/2025,FCCU,Wet Gas Compressor,power,4239.08,KWH,General,
02/26/2025,FCCU,CO Boiler,fuel gas,443.49,scm,General,Unit under maintenance
2025-05-07,FCCU,feed preheater,fuel gas,306.88,scm,B,
2025-04-27,FCCU,Flue Gas Cooler,Power ,1063.88,kwh,General,Minor fluctuation observed
20-04-2025,FCCU,feed preheater,Fuel Gas ,294.29,Sm3,C-Shift,Sensor calibration pending
21/02/2025,FCCU,Regenerator,STEAM,359.51,Tons,b shift,  
10/02/2025,FCCU,Regenerator,STEAM,342.57,Tons,b shift,Unit under maintenance
05/15/2025,FCCU,Air Blower,power,3614.97,KWH,C,Minor fluctuation observed
04-03-2025,FCCU,Reactor,steam,195.72,ton,A Shift,Unit under maintenance
02-03-2025,FCCU,CO Boiler,fuel gas,434.41,scm,C-Shift,Unit under maintenance
10/02/2025,FCCU,Reactor,steam,197.67,ton,A Shift,  
23/01/2025,FCCU,CO Boiler,fuel gas,419.4,scm,C-Shift,
2025-05-31,FCCU,Regenerator,Steam ,313.93,T,b shift,N/A
05-06-2025,FCCU,Air Blower,Electricity,3531.33,kWh,C-Shift,
2025-04-15,FCCU,Regenerator,STEAM,0.0,Tons,A,
21-01-2025,FCCU,Main Fractionator,Steam,100.02,Ton,B,Startup phase
09/05/2025,FCCU,feed preheater,fuel gas,274.48,scm,b shift,
26-06-2025,FCCU,Wet Gas Compressor,Power ,4318.52,kwh,b shift,Unit under maintenance
29/03/2025,FCCU,Regenerator,Steam,309.26,Ton,A,
01/27/2025,FCCU,Reactor,Steam ,216.61,T,A Shift,Reading taken manually
2025-04-28,FCCU,Regenerator,Steam,337.09,Ton,b shift,Minor fluctuation observed
06/02/2025,FCCU,Feed Preheater,Fuel Gas,267.35,SCM,General,N/A
04/06/2025,FCCU,Main Fractionator,steam,126.01,ton,b shift,Normal operation
20/01/2025,FCCU,Feed Preheater,Fuel Gas ,309.6,Sm3,C-Shift,
12-05-2025,FCCU,FLUE GAS COOLER,Power,947.21,kWh,A,Minor fluctuation observed
2025-03-20,FCCU,Wet Gas Compressor,Electricity,4475.64,kWh,A Shift,Sensor calibration pending
13-06-2025,FCCU,wet gas compressor,power,4569.98,KWH,C,Normal operation
2025-02-01,FCCU,Air Blower,power,3726.56,KWH,C,Sensor calibration pending
22/06/2025,FCCU,CO Boiler,FuelGas,420.23,SCM,C,
20-01-2025,FCCU,Regenerator,Steam ,302.09,T,C,Normal operation
06/10/2025,FCCU,slurry pump,power,205.18,KWH,B,Minor fluctuation observed
04/05/2025,FCCU,Air Blower,Power,3991.1,kWh,A Shift,
06/15/2025,FCCU,CO BOILER,FuelGas,470.46,SCM,b shift,
2025-03-13,FCCU,Wet Gas Compressor,power,4278.53,KWH,A,
2025-05-26,FCCU,Flue Gas Cooler,Electricity,1047.29,kWh,b shift,
02/22/2025,FCCU,Slurry Pump,Power,209.36,kWh,b shift,
2025-05-18,FCCU,Main Fractionator,steam,129.75,ton,C-Shift,  
14-03-2025,FCCU,Reactor,STEAM,188.09,Tons,A,
06/02/2025,FCCU,Slurry Pump,Power,199.24,kWh,B,Unit under maintenance
24/06/2025,FCCU,air blower,Electricity,4070.54,kWh,A,Normal operation
04-02-2025,FCCU,WET GAS COMPRESSOR,Power ,4229.79,kwh,General,
05-06-2025,FCCU,Slurry Pump,Power ,161.72,kwh,C-Shift,N/A
27-03-2025,FCCU, Regenerator  ,Steam ,352.61,T,A Shift,  
03/16/2025,FCCU,Reactor,steam,211.57,ton,C,  
21/05/2025,FCCU,Flue Gas Cooler,Electricity,990.43,kWh,b shift,
08-04-2025,FCCU,reactor,Steam,189.59,Ton,C-Shift,Sensor calibration pending
2025-04-26,FCCU,reactor,Steam ,190.79,T,A,
09/04/2025,FCCU,Air Blower,power,3676.36,KWH,C-Shift,N/A
03-05-2025,FCCU,Reactor,Steam ,203.57,T,B,
11/06/2025,FCCU,Wet Gas Compressor,Electricity,44821.7,kWh,C-Shift,
01-04-2025,FCCU, CO Boiler  ,Fuel Gas,424.05,SCM,B,N/A
2025-02-05,FCCU,Air Blower,Electricity,3584.52,kWh,A Shift,
04/05/2025,FCCU,main fractionator,steam,125.31,ton,b shift,Minor fluctuation observed
2025-04-06,FCCU,regenerator,Steam,347.15,Ton,A,Normal operation
04/17/2025,FCCU,air blower,Electricity,3973.92,kWh,A Shift,Sensor calibration pending
22/02/2025,FCCU,Wet Gas Compressor,power,4454.48,KWH,A Shift,Unit under maintenance
24-03-2025,FCCU,Flue Gas Cooler,Electricity,854.11,kWh,C,
04/02/2025,FCCU,Main Fractionator,Steam,111.55,Ton,A Shift,Startup phase
01/03/2025,FCCU,Main Fractionator,Steam,93.88,Ton,A Shift,N/A
